longitude, latitude
-106.98677059410836, 38.90951904811261
-106.9863628983381, 38.91020362375581
-106.98724266289499, 38.91048747025693
-106.98900219200875, 38.91053756069814
-106.98898073433664, 38.91195677517605
-106.98816534279611, 38.912658023619585
-106.98863741158273, 38.91309212632686
-106.98940988777902, 38.913593010766796
-106.98979612587716, 38.91404380374037
-106.98591337235203, 38.91543600493344
-106.98683605225315, 38.91652121424469
-106.98782310517063, 38.91702207448358
-106.98946647187779, 38.9176279974488
-106.9902604057462, 38.91913054412562
-106.98815755387852, 38.91976494316999
-106.98663405915806, 38.92013222423489
-106.98635510942051, 38.92108380724117
-106.99255637666295, 38.92265090213293
-106.99274949571202, 38.921398844232314
-106.99212722322056, 38.920096680577835
-106.98978833695958, 38.92041387649014
-106.99131183168004, 38.92156578656232
-106.99163369676182, 38.92241718633538
-106.99332885285924, 38.9224839623561
-106.99313573381016, 38.92365253254522
-106.99135474702427, 38.92386955060404
-106.98665551683018, 38.92493793752282
-106.98759965440343, 38.92558897791203
-106.9877927734525, 38.926674031950604
-106.98785714646885, 38.924103261617326
-106.988243384567, 38.92348559512515
-106.98946647187779, 38.92450390727751
-106.9893591835172, 38.924971324354786
-106.9893591835172, 38.92533857846937
-106.9877927734525, 38.92585606967672
-106.9865696861417, 38.92602300151898
-106.98538951417515, 38.92520503173859
-106.98609761735509, 38.92450390727751
-106.98910169145176, 38.92707466309275
-106.98856524964879, 38.92817638706723
-106.99154834122582, 38.929728787261446
-106.98993901581689, 38.929628633435456
-106.9896171507351, 38.93084716204538
-106.99202041001244, 38.930930622143094
-106.99281434388085, 38.93042986008383
-106.99229935974999, 38.9329503265626
-106.99324349732323, 38.93306716720719
-106.99326495499535, 38.93280010259388
-106.99257830948754, 38.93263318669988
-106.99114064545556, 38.93281679416167
-106.9902823385708, 38.93310055021315
-106.99058274598046, 38.93361798479616
-106.9911835607998, 38.933834972368786
-106.99238519043847, 38.93391842895069
-106.98882321686669, 38.9322158952463
-106.98858718247338, 38.93154822381386
-106.98732117981835, 38.929611941117386
-106.98577622742577, 38.92904439996537
-106.98637704224511, 38.929728787261446
-106.98665599198266, 38.928844090239316
-106.98575476975365, 38.928610394844
-106.98564748139306, 38.93286686884149
-106.98605517716332, 38.93331753936885
-106.98622683854028, 38.93395181155598
-106.9861410078518, 38.93448593110333
-106.98822240204736, 38.93443585756665
-106.98875884385033, 38.933885046329706
-106.98555873704451, 38.93676718142249
-106.98600934815902, 38.936650346873584
-106.9864385016014, 38.93645005862765
-106.98663162065047, 38.93628315132393
-106.99180291963118, 38.935365154131496
-106.9917170889427, 38.93611624362737
-106.99178146195906, 38.93646674933643
-106.9922749884178, 38.9370008499428
-106.99326204133529, 38.93755163697995
-106.99433492494124, 38.93713437446585
-106.9939486868431, 38.93701754052194
-106.99345516038436, 38.93698415935974
-106.99315475297469, 38.93683394393544
-106.99276851487654, 38.93639998647779
-106.99236081910628, 38.93608286204093
-106.98803972801254, 38.93801487696605
-106.98798608383224, 38.93818178019391
-106.98772859176681, 38.93832364762869
-106.98755693038986, 38.93825688651827
-106.98780369361923, 38.938198470495074
-106.98956229869799, 38.94140602986463
-106.98958375637011, 38.94163968309876
-106.98951938335375, 38.94173147523005
-106.98926189128832, 38.941664717328166
-106.98928334896044, 38.94129754774422
-106.98902585689501, 38.94122244464052
-106.98875763599352, 38.941255823807545
-106.98867180530505, 38.94102216930845
-106.98872544948534, 38.940830238251046
-106.98773886648884, 38.942784818149256
-106.98757793394795, 38.943060189739
-106.98737408606281, 38.943235425648325
-106.98752428976765, 38.94286826419849
